#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  I_b_ave_(A)  |VxB0|_(V/m)    V_anode  V_cathode  T_temp_C_(ohm)  T_resist_(ohm)
      0.256944444    1.5667477   3191.000  -3092.783  -5358.231   6717.649   1750.707   3033.148   0.004943434    60.0064629      6977.2371     359.84471     359.99978  297.4391425   3.20825e+11     6.9366e-13   2.3562e+13  25438.62 -26727.02 -32650.32    0.9419240    0.35998283    94.3100     0.0000        20.00000         4.48830
      0.263888889    2.1263808   6284.229  -1479.162  -2562.596   3219.846   3437.153   5954.955   0.004939917    60.0066383      6977.2029     359.88272     359.99962  334.9046345   3.95213e+11     1.0150e-12   3.4719e+13  36459.18  -4580.46  10853.75    1.2786978    0.22860557   114.6893     0.0000        20.00000         4.48830
      0.270833333    4.6830467   6781.838    744.670   1290.305  -1621.652   3708.993   6426.163   0.004923552    60.0078009      6977.0863     359.89535     359.99955   12.4942959   8.90187e+11     7.0061e-13   2.4168e+13  -9986.76   2453.55  23996.37    2.8237050    0.07259641   112.0123     0.0000        20.00000         4.48830
      0.277777778    0.6214058   4476.014   2660.911   4610.398  -5785.098   2450.233   4245.305   0.004916117    60.0082671      6977.0287     359.85755     359.99978   50.0836294   1.06739e+11     2.7835e-13   9.5710e+12 -30505.74 -14278.37  -5191.59    0.3730799    0.22024269   132.5885     0.0000        20.00000         4.48830
      0.284722222    0.2968731    326.754   3482.966   6034.693  -7550.163    195.581    338.833   0.004915497    60.0082917      6977.0188     359.84312     359.99984   87.4719995   5.64725e+10     1.1474e-13   3.4728e+12  -5754.97 -28291.11 -34107.72    0.1782098    0.32547593   107.9443     0.0000        20.00000         4.48830
      0.291666667    0.4737032  -3958.705   2883.643   4996.266  -6232.137  -2119.274  -3671.954   0.004915906    60.0083047      6977.0083     359.82643     359.99981  124.6330154   1.02088e+11     9.2202e-14   2.5952e+12  31507.90 -17380.41 -17502.82    0.2844303    0.27612945    84.2975     0.0000        20.00000         4.48830
      0.298611111    0.2560922  -6644.035   1116.694   1934.775  -2408.771  -3562.734  -6172.931   0.004916511    60.0083524      6977.0027     359.82049     359.99977  161.5955367   6.17629e+10     7.6460e-14   2.2837e+12  17602.25   3173.35  17303.49    0.1537341    0.08944741    67.1988     0.0000        20.00000         4.48830
      0.305555556    0.4839814  -6654.987  -1100.211  -1906.315   2373.545  -3568.650  -6183.167   0.004917104    60.0084274      6976.9985     359.82034     359.99977  198.4805193   1.84740e+11     9.6325e-14   3.2301e+12 -17192.48   2437.67   9837.80    0.2910218    0.09743941    27.1750     0.0000        20.00000         4.48830
      0.312500000    0.7293554  -3987.134  -2873.780  -4979.257   6211.164  -2134.655  -3698.558   0.004917486    60.0084728      6976.9950     359.82377     359.99981  235.4339024   2.06671e+11     2.5099e-13   8.7857e+12 -18513.70  -8592.62  -7225.67    0.4384266    0.14210720    49.1815     0.0000        20.00000         4.48830
      0.319444444    2.2363892    292.378  -3483.679  -6035.980   7552.034    176.956    306.602   0.004918188    60.0085088      6976.9700     359.86422     360.00000  272.5381143   4.22587e+11     5.4855e-13   1.8104e+13  -8960.18 -23787.83 -25227.95    1.3450940    0.25012206   111.1200     0.0000        20.00000         4.48830
      0.326388889    1.2639877   4449.701  -2671.858  -4629.394   5809.163   2435.956   4220.624   0.004916192    60.0084909      6976.9266     359.93135       0.00012  309.8453644   2.12072e+11     7.6909e-13   2.6396e+13  34159.73 -23944.63 -21461.98    0.7592921    0.34033064   139.5435     0.0000        20.00000         4.48830
      0.333333333    3.8093643   6774.337   -761.337  -1319.132   1658.034   3704.843   6419.258   0.004909347    60.0088067      6976.8712     359.97445     359.99995  347.3544978   6.21322e+11     9.9758e-13   3.3867e+13  26347.34  -1192.78  22589.14    2.2926588    0.17771996   149.8840     0.0000        20.00000         4.48830
      0.340277778    3.5980042   6298.509   1463.503   2535.888  -3186.249   3444.563   5968.630   0.004883378    60.0102312      6976.6856     359.94741       0.00011   24.9841420   5.51365e+11     5.5149e-13   1.9180e+13 -21218.93  -4426.50  19088.79    2.1643942    0.13223900   169.1479     0.0000        20.00000         4.48830
      0.347222222    0.5280737   3220.983   3084.411   5344.583  -6700.773   1766.683   3061.344   0.004877189    60.0104871      6976.6313     359.89445       0.00032   62.5419171   7.96347e+10     1.7771e-13   5.8569e+12 -25829.62 -22517.95 -14701.87    0.3169880    0.25864466   171.7725     0.0000        20.00000         4.48830
      0.354166667    0.4650836  -1180.999   3439.744   5960.346  -7449.788   -620.660  -1075.390   0.004876865    60.0104951      6976.6207     359.87744       0.00035   99.8603288   8.09196e+10     1.0616e-13   3.1195e+12   6580.96 -29194.07 -32736.72    0.2791911    0.32369820   129.0979     0.0000        20.00000         4.48830
      0.361111111    0.4599382  -5105.073   2394.934   4149.955  -5172.790  -2736.461  -4741.650   0.004877674    60.0105167      6976.6081     359.85880       0.00032  136.9562478   9.02672e+10     8.6382e-14   2.4035e+12  35220.30 -13544.28  -8092.73    0.2761371    0.26049776   101.5536     0.0000        20.00000         4.48830
      0.368055556    0.3112521  -6968.616    382.172    662.284   -824.356  -3737.216  -6475.800   0.004878425    60.0105718      6976.6020     359.85397       0.00029  173.8840826   7.78386e+10     7.1320e-14   2.2163e+12  11437.78   4659.88  19244.86    0.1868877    0.07467244    62.5797     0.0000        20.00000         4.48830
      0.375000000    0.6741499  -6027.870  -1784.525  -3092.160   3852.049  -3232.337  -5601.015   0.004879160    60.0106579      6976.5967     359.85578       0.00031  210.7812323   2.13243e+11     1.3782e-13   4.7590e+12 -17261.50   -179.07   6826.04    0.4053291    0.08872208    39.5430     0.0000        20.00000         4.48830
      0.381944444    1.5175676  -2657.598  -3231.138  -5598.882   6991.130  -1418.126  -2457.415   0.004880168    60.0107272      6976.5849     359.87134       0.00041  247.7800909   3.12138e+11     3.3350e-13   1.1573e+13 -15892.93 -13663.68  -9882.18    0.9123599    0.15539984    93.4570     0.0000        20.00000         4.48830
      0.388888889    2.6153776   1788.809  -3365.930  -5832.520   7305.496    988.481   1712.700   0.004880325    60.0107358      6976.5273     359.96669       0.00063  284.9092341   4.06740e+11     6.1083e-13   2.0335e+13   1952.98 -26326.06 -22502.54    1.5722845    0.24929674   163.4265     0.0000        20.00000         4.48830
      0.395833333    1.4724030   5500.229  -2123.118  -3679.051   4620.131   3008.747   5213.464   0.004875810    60.0107345      6976.4644       0.05586       0.00067  322.2656501   2.18486e+11     8.9185e-13   3.0577e+13  37000.64 -19117.92  -7325.20    0.8843819    0.30076903   178.2550     0.0000        20.00000         4.48830
      0.402777778    8.3167319   6942.434     -5.519     -9.668     12.053   3796.503   6578.783   0.004858801    60.0114933      6976.3398       0.10516       0.00050  359.8027116   1.27806e+12     8.5474e-13   2.9128e+13  10160.07    215.76  30059.18    5.0186287    0.12264283   172.4286     0.0000        20.00000         4.48830
      0.409722222    1.4899263   5513.661   2114.224   3663.703  -4601.114   3015.721   5226.237   0.004827561    60.0129458      6976.1112       0.01525       0.00092   37.4789940   1.99989e+11     4.1199e-13   1.4321e+13 -31166.91 -13984.11   7766.78    0.8947310    0.21407435   217.5439     0.0000        20.00000         4.48830
      0.416666667    0.4071830   1810.011   3362.690   5827.352  -7299.512    999.632   1732.545   0.004824927    60.0130176      6976.0819     359.97771       0.00101   74.9641648   5.81262e+10     1.2675e-13   3.9181e+12 -15881.16 -28566.27 -22956.19    0.2443971    0.28830427   191.5350     0.0000        20.00000         4.48830
      0.423611111    0.5644047  -2637.375   3234.644   5605.590  -7000.117  -1407.623  -2439.138   0.004825041    60.0130189      6976.0677     359.95403       0.00102  112.2169175   8.68219e+10     9.7356e-14   2.7608e+12  18051.30 -28517.36 -26429.30    0.3388111    0.31176550   165.1324     0.0000        20.00000         4.48830
      0.430555556    0.3915116  -6016.506   1793.020   3107.415  -3871.371  -3226.759  -5591.736   0.004826462    60.0130520      6976.0516     359.93304       0.00099  149.2590671   6.28340e+10     8.5258e-14   2.4640e+12  33049.67 -10703.57   4051.58    0.2349994    0.22652784   151.5900     0.0000        20.00000         4.48830
      0.437500000    0.6218520  -6969.841   -372.344   -645.054    803.245  -3738.407  -6478.559   0.004827862    60.0131200      6976.0415     359.92935       0.00097  186.1697071   1.11535e+11     7.5835e-14   2.4555e+12   2991.18   1016.11  20947.59    0.3733714    0.07148448   121.6574     0.0000        20.00000         4.48830
      0.444444444    1.3554541  -5117.345  -2387.656  -4137.590   5158.265  -2743.391  -4754.395   0.004830403    60.0132539      6976.0216     359.94343       0.00104  223.0864839   2.67219e+11     1.9226e-13   6.7482e+12 -17675.33  -6428.99   4416.35    0.8145584    0.10486887   101.4355     0.0000        20.00000         4.48830
      0.451388889    2.1890426  -1198.640  -3437.607  -5957.269   7446.880   -630.255  -1092.496   0.004832949    60.0133403      6975.9819       0.00265       0.00122  260.1109163   3.61829e+11     4.2981e-13   1.4694e+13 -10144.36 -19203.18 -12525.30    1.3157675    0.17633719   144.5300     0.0000        20.00000         4.48830
      0.458333333    2.6170348   3205.292  -3087.882  -5351.374   6709.844   1758.202   3046.656   0.004831137    60.0133279      6975.9022       0.13387       0.00136  297.2854100   3.81350e+11     6.5604e-13   2.2224e+13  11539.82 -24225.87 -15726.75    1.5728393    0.22761175   185.7874     0.0000        20.00000         4.48830
      0.465277778    2.5191948   6290.923  -1470.903  -2549.304   3203.187   3440.346   5961.950   0.004822692    60.0134052      6975.8169       0.23457       0.00130  334.6921916   3.54263e+11     1.0015e-12   3.4070e+13  32276.72 -12974.85   7037.42    1.5137839    0.23957579   199.2249     0.0000        20.00000         4.48830
      0.472222222    6.2571314   6777.512    753.036   1304.805  -1640.424   3706.052   6422.933   0.004791969    60.0146742      6975.5980       0.25600       0.00128   12.2753822   8.90206e+11     6.8514e-13   2.3584e+13  -8934.26  -1526.90  29725.66    3.7684278    0.11026068   198.0963     0.0000        20.00000         4.48830
      0.479166667    0.6047197   4461.719   2665.787   4619.929  -5798.389   2441.873   4232.381   0.004773762    60.0154589      6975.4571       0.16047       0.00168   49.9266014   8.18180e+10     2.8185e-13   9.6519e+12 -33564.83 -22232.77  -8100.66    0.3629856    0.28166183   213.3447     0.0000        20.00000         4.48830
      0.486111111    0.4177476    307.653   3481.850   6034.488  -7552.138    184.529    320.205   0.004772883    60.0154750      6975.4421       0.13746       0.00172   87.3332060   5.92383e+10     1.0894e-13   3.1923e+12  -2912.14 -30882.87 -26780.97    0.2507488    0.29935310   194.1333     0.0000        20.00000         4.48830
      0.493055556    0.5595201  -3974.820   2876.040   4984.762  -6220.104  -2129.121  -3689.728   0.004773646    60.0154811      6975.4225       0.10563       0.00170  124.5255158   7.82796e+10     9.0398e-14   2.4834e+12  26202.10 -24845.07 -14954.36    0.3358619    0.27917122   199.5398     0.0000        20.00000         4.48830
      0.500000000    0.3211241  -6649.134   1104.646   1914.835  -2384.965  -3567.011  -6181.992   0.004775531    60.0155273      6975.4052       0.08690       0.00167  161.5219898   4.58365e+10     8.2584e-14   2.5243e+12  23370.57  -7308.94  15755.05    0.1927377    0.16848533   191.5088     0.0000        20.00000         4.48830
      0.506944444    0.9472118  -6644.219  -1112.305  -1927.448   2400.770  -3564.233  -6177.449   0.004778779    60.0156446      6975.3823       0.08865       0.00167  198.4279356   1.39907e+11     9.8062e-14   3.3010e+12  -9067.97  -4751.37  18654.74    0.5687534    0.09599033   179.4360     0.0000        20.00000         4.48830
      0.513888889    1.7481548  -3962.070  -2880.593  -4992.292   6229.489  -2121.902  -3677.919   0.004783626    60.0157790      6975.3388       0.13394       0.00179  235.3600642   2.60712e+11     2.6122e-13   9.2204e+12 -17165.10 -15297.14   -951.76    1.0501562    0.15158139   176.7065     0.0000        20.00000         4.48830
      0.520833333    2.4418494    323.045  -3481.436  -6033.891   7551.233    193.281    334.542   0.004786338    60.0158227      6975.2689       0.24750       0.00194  272.4066064   3.68591e+11     5.1578e-13   1.7493e+13  -1181.30 -21911.78 -13371.71    1.4676879    0.18701207   173.1897     0.0000        20.00000         4.48830
      0.527777778    2.2285751   4473.430  -2660.557  -4611.424   5787.418   2448.607   4243.478   0.004782669    60.0158302      6975.1918       0.36968       0.00194  309.6682073   3.46971e+11     7.3727e-13   2.5218e+13  16915.23 -17907.94  -7791.23    1.3393198    0.18803453   162.6917     0.0000        20.00000         4.48830
      0.534722222    4.0453463   6780.584   -745.129  -1291.813   1623.554   3707.845   6426.238   0.004772862    60.0160335      6975.1107       0.43857       0.00184  347.1564813   5.95004e+11     9.8886e-13   3.3539e+13  21224.25  -6007.24  18093.46    2.4337302    0.16446816   183.7402     0.0000        20.00000         4.48830
      0.541666667    4.2418288   6283.726   1478.030   2561.438  -3219.369   3436.041   5955.799   0.004737281    60.0175031      6974.8564       0.39542       0.00207   24.8064515   6.02300e+11     5.4520e-13   1.8892e+13 -25193.19  -6274.25  20117.34    2.5518070    0.16139402   197.0728     0.0000        20.00000         4.48830
      0.548611111    0.4271028   3190.247   3090.974   5357.344  -6718.878   1749.468   3032.811   0.004729921    60.0177995      6974.7931       0.33394       0.00231   62.3803609   6.24934e+10     1.8675e-13   6.1680e+12 -27226.36 -27381.66 -21877.23    0.2563615    0.31772667   182.3492     0.0000        20.00000         4.48830
      0.555555556    0.7094599  -1215.796   3434.862   5953.713  -7444.405   -640.376  -1109.439   0.004729593    60.0178045      6974.7760       0.30511       0.00232   99.7245484   1.00864e+11     1.0309e-13   2.9185e+12  10461.35 -29953.55 -25074.61    0.4258833    0.29358284   193.3459     0.0000        20.00000         4.48830
      0.562500000    0.3946320  -5129.258   2379.389   4124.538  -5143.517  -2750.999  -4767.942   0.004730994    60.0178265      6974.7532       0.27013       0.00227  136.8572211   5.42012e+10     8.9190e-14   2.4875e+12  28050.29 -17976.88  -1548.58    0.2368652    0.22600064   206.8884     0.0000        20.00000         4.48830
      0.569444444    0.6459638  -6970.133    361.217    626.571   -780.393  -3739.820  -6482.177   0.004732925    60.0178846      6974.7382       0.25958       0.00225  173.8153680   9.03347e+10     7.8161e-14   2.4952e+12   9382.35  -4433.71  22216.66    0.3877462    0.11481333   199.7498     0.0000        20.00000         4.48830
      0.576388889    1.2899203  -6002.799  -1802.621  -3124.087   3893.421  -3220.227  -5581.926   0.004737943    60.0180429      6974.7018       0.27420       0.00229  210.7246838   1.75901e+11     1.4000e-13   4.8474e+12 -19359.88 -11270.88  11325.33    0.7745360    0.14989680   210.6152     0.0000        20.00000         4.48830
      0.583333333    1.7717216  -2613.335  -3238.276  -5612.771   7010.921  -1394.868  -2418.259   0.004743365    60.0181353      6974.6429       0.35044       0.00240  247.6843288   2.33588e+11     3.4855e-13   1.2246e+13 -12277.35 -23332.15  -8623.12    1.0640993    0.19940405   225.7062     0.0000        20.00000         4.48830
      0.590277778    2.1373906   1835.331  -3358.020  -5820.653   7292.471   1013.514   1756.206   0.004744286    60.0181440      6974.5636       0.48503       0.00243  284.7898738   3.27073e+11     5.7232e-13   1.9494e+13   7523.22 -20302.19 -11327.71    1.2843615    0.17812201   168.2556     0.0000        20.00000         4.48830
      0.597222222    1.8203739   5529.524  -2102.465  -3644.642   4577.575   3024.506   5242.112   0.004740565    60.0181844      6974.5119       0.56051       0.00237  322.1696829   3.33729e+11     8.7596e-13   2.9953e+13  19385.68 -11293.92  -2341.09    1.0942165    0.15972693   117.5238     0.0000        20.00000         4.48830
