#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.375000000    0.0000000  -6049.745     -0.000  -3537.737   3815.251     -0.000  -6486.522   0.005000001    90.0000000      6978.1352     359.99996     360.00000  210.3180449   1.89380e+11     1.0619e-13   3.6547e+12 -16520.07   2394.99   7776.27    0.08144995
      0.381944444    0.0000000  -2696.658     -0.000  -6450.451   6973.132     -0.000  -2877.379   0.005000002    90.0000000      6978.1351     359.99997     360.00000  247.3123053   3.36844e+11     2.0257e-13   7.0656e+12 -23989.09  -3195.91 -19695.90    0.20752616
      0.388888889    0.0000000   1747.430     -0.000  -6746.597   7316.528      0.000   1932.837   0.005000003    90.0000000      6978.1351     359.99999     360.00000  284.5210331   4.55352e+11     5.0313e-13   1.5942e+13   6725.75  -4992.61 -45835.48    0.35052036
      0.395833333    0.0000000   5473.897     -0.000  -4283.359   4657.656      0.000   5990.018   0.005000002    90.0000000      6978.1351       0.00001     360.00000  321.9565885   2.18729e+11     7.5612e-13   2.6010e+13  43494.05  -1318.54 -16094.47    0.33598563
      0.402777778    0.0000000   6943.019     -0.000    -56.043     61.005      0.000   7595.505   0.005000001    90.0000000      6978.1351       0.00002       0.00000  359.5375101   1.25646e+12     8.4972e-13   2.8958e+13  10786.04    232.10  29804.43    0.08204362
      0.409722222    0.0000000   5541.918      0.000   4194.417  -4561.165      0.000   6064.277   0.005000000    90.0000000      6978.1350       0.00001       0.00000   37.1203516   1.66051e+11     4.8102e-13   1.6652e+13 -39636.10  -1298.17  -1356.62    0.24690238
      0.416666667    0.0000000   1855.168      0.000   6717.211  -7285.222      0.000   2049.832   0.004999999    90.0000000      6978.1350       0.00000     360.00000   74.5608383   2.12554e+11     1.7670e-13   5.3530e+12 -16153.07     85.37 -42260.47    0.34104457
      0.423611111    0.0000000  -2593.420      0.000   6492.091  -7018.664     -0.000  -2765.983   0.004999998    90.0000000      6978.1350     359.99999       0.00000  111.7754300   1.49092e+11     8.8421e-14   2.3300e+12  19781.99   2565.42 -39103.50    0.32988866
      0.430555556    0.0000000  -5992.685      0.000   3633.005  -3918.152     -0.000  -6425.248   0.004999999    90.0000000      6978.1350     359.99997       0.00000  148.7741065   6.20999e+10     7.5343e-14   1.9680e+12  36105.27   2583.72  -1715.08    0.24062908
      0.437500000    0.0000000  -6978.749     -0.000   -690.783    744.477     -0.000  -7483.416   0.005000000    90.0000000      6978.1350     359.99996       0.00000  185.6529718   1.04371e+11     7.0830e-14   2.2859e+12   2636.14    158.85  21041.67    0.03735837
      0.444444444    0.0000000  -5159.206     -0.000  -4736.580   5111.384     -0.000  -5529.663   0.005000002    90.0000000      6978.1349     359.99997     360.00000  222.5545502   2.13764e+11     1.3207e-13   4.6392e+12 -23338.99  -3932.18    635.19    0.12813552
      0.451388889    0.0000000  -1259.279     -0.000  -6869.793   7434.096     -0.000  -1324.929   0.005000003    90.0000000      6978.1349     359.99998     360.00000  259.6126408   3.17096e+11     2.7996e-13   9.3921e+12 -16785.91  -8148.74 -34316.78    0.28391084
      0.458333333    0.0000000   3149.942     -0.000  -6208.884   6740.173      0.000   3457.270   0.005000003    90.0000000      6978.1349     360.00000     360.00000  296.8999662   3.78577e+11     5.8356e-13   1.9244e+13  21672.26  -8862.28 -38519.37    0.34129724
      0.465277778    0.0000000   6264.536     -0.000  -3001.894   3266.069      0.000   6853.622   0.005000002    90.0000000      6978.1349       0.00001       0.00000  334.3967767   2.81799e+11     8.6701e-13   2.9641e+13  39336.27  -4191.62   1734.54    0.26543959
      0.472222222    0.0000000   6792.364      0.000   1443.227  -1570.832      0.000   7430.710   0.005000001    90.0000000      6978.1349       0.00002       0.00000   11.9956693   8.66951e+11     7.0923e-13   2.4371e+13 -10979.72   -719.48  28828.25    0.03763300
      0.479166667    0.0000000   4512.971      0.000   5292.506  -5751.011      0.000   4941.733   0.005000000    90.0000000      6978.1348       0.00001       0.00000   49.5454343   1.71734e+11     3.7158e-13   1.2719e+13 -38359.74   1009.49 -20455.09    0.30775825
      0.486111111    0.0000000    375.309      0.000   6965.981  -7547.016      0.000    444.403   0.004999999    90.0000000      6978.1348       0.00000       0.00000   86.9160341   1.59425e+11     1.2812e-13   3.6362e+12  -3981.90    990.26 -43637.97    0.33119371
      0.493055556    0.0000000  -3918.368      0.000   5797.597  -6261.906     -0.000  -4194.387   0.004999999    90.0000000      6978.1348     359.99998     360.00000  124.0532360   6.16537e+10     7.7844e-14   1.9402e+12  31122.76   -726.79 -31704.01    0.32931964
      0.500000000    0.0000000  -6629.060      0.000   2282.798  -2460.853     -0.000  -7108.327   0.005000000    90.0000000      6978.1348     359.99997     360.00000  160.9982556   4.38183e+10     7.3802e-14   2.1247e+12  28349.92  -2383.15  12317.86    0.17173919
      0.506944444    0.0000000  -6673.138     -0.000  -2151.259   2318.982     -0.000  -7155.617   0.005000001    90.0000000      6978.1348     359.99997     360.00000  197.8681075   1.24004e+11     8.1760e-14   2.7372e+12 -13088.11  -4087.34  17520.40    0.05701411
      0.513888889    0.0000000  -4033.073     -0.000  -5719.098   6176.614     -0.000  -4317.921   0.005000002    90.0000000      6978.1347     359.99997     360.00000  234.8087692   1.50714e+11     1.6790e-13   5.9496e+12 -28444.09  -8142.94 -15341.54    0.22510508
      0.520833333    0.0000000    236.054     -0.000  -6972.785   7553.634      0.000    293.508   0.005000003    90.0000000      6978.1347     359.99999     360.00000  271.9389449   3.71531e+11     3.8447e-13   1.2555e+13   -590.16 -11054.02 -40414.80    0.31635179
      0.527777778    0.0000000   4406.004     -0.000  -5382.573   5848.431      0.000   4825.131   0.005000003    90.0000000      6978.1347       0.00000     360.00000  309.3026663   3.26106e+11     6.3151e-13   2.1469e+13  28362.11 -10267.42 -22047.76    0.27649279
      0.534722222    0.0000000   6762.020     -0.000  -1579.969   1719.627      0.000   7397.523   0.005000002    90.0000000      6978.1347       0.00002     360.00000  346.8485674   4.88635e+11     9.1674e-13   3.1161e+13  25219.50  -4285.38  16226.19    0.16049917
      0.541666667    0.0000000   6323.500      0.000   2874.896  -3128.027      0.000   6918.068   0.005000001    90.0000000      6978.1346       0.00002     360.00000   24.4482691   5.21437e+11     5.9106e-13   2.0408e+13 -28656.23     70.54  15956.39    0.14914737
      0.548611111    0.0000000   3273.608      0.000   6143.879  -6670.199      0.000   3591.834   0.004999999    90.0000000      6978.1346       0.00001     360.00000   61.9502125   2.22309e+11     2.7085e-13   8.9814e+12 -28623.30   2209.21 -32190.22    0.31825711
      0.555555556    0.0000000  -1121.932      0.000   6892.860  -7459.791     -0.000  -1176.420   0.004999999    90.0000000      6978.1346     360.00000     360.00000   99.2448099   2.59322e+11     9.7833e-14   2.6697e+12   7768.38   -872.91 -43328.66    0.33244501
      0.562500000    0.0000000  -5063.927      0.000   4837.621  -5220.776     -0.000  -5427.216   0.004999999    90.0000000      6978.1346     359.99998     360.00000  136.3093202   3.95042e+10     7.4838e-14   1.8143e+12  36587.99  -4306.74 -14468.02    0.27575139
      0.569444444    0.0000000  -6963.648      0.000    828.652   -893.072     -0.000  -7467.222   0.005000000    90.0000000      6978.1346     359.99997     360.00000  173.2139263   8.50782e+10     7.2021e-14   2.2505e+12  11870.07  -3881.98  21474.17    0.07181943
