#                  NOMINAL TIMING        EARLY TIMING       LATE TIMING
#    mo. yr.  mean +2sig -2sig ap mean +2sig -2sig ap mean +2sig -2sig ap

      4 2011   188  226  133   16  181  214  134   16  185  225  126   16
      5 2011   187  225  133   16  179  211  133   16  186  226  127   16
      6 2011   187  224  133   16  178  208  132   16  187  227  128   16
      7 2011   186  223  134   16  176  205  132   15  187  229  130   16
      8 2011   185  220  134   16  174  203  131   15  188  228  130   16
      9 2011   184  218  133   16  172  199  131   15  188  228  130   16
     10 2011   182  218  134   16  169  196  131   15  188  227  132   16
     11 2011   181  215  133   16  167  193  129   15  188  227  132   16
     12 2011   179  211  132   16  165  189  128   15  187  226  132   16
      1 2012   178  209  131   16  162  186  127   14  187  224  132   16
      2 2012   176  205  131   15  160  183  126   14  186  224  133   16
      3 2012   174  203  130   15  157  178  125   14  185  221  133   16
      4 2012   172  200  130   15  154  175  124   14  184  218  132   16
      5 2012   169  197  130   15  152  172  123   14  182  218  133   16
      6 2012   167  193  128   15  149  167  122   13  181  216  132   16
      7 2012   165  190  128   15  146  164  120   13  179  212  132   16
      8 2012   162  187  126   14  143  161  119   13  178  209  130   16
      9 2012   160  183  126   14  141  156  117   13  176  206  130   15
     10 2012   157  178  124   14  138  153  116   13  174  204  130   15
     11 2012   154  175  123   14  135  150  114   12  172  200  129   15
     12 2012   152  172  123   14  132  145  113   12  169  197  129   15
      1 2013   149  167  121   13  130  141  111   12  167  194  127   15
      2 2013   146  164  120   13  127  138  109   12  165  190  127   15
      3 2013   143  161  119   13  124  135  108   12  162  187  126   14
      4 2013   141  156  117   13  122  130  106   12  160  183  125   14
      5 2013   138  153  115   13  119  127  106   11  157  179  124   14
      6 2013   135  150  114   12  116  124  105   11  154  176  123   14
      7 2013   132  145  113   12  114  120  103   11  152  172  122   14
      8 2013   130  142  110   12  111  119  102   11  149  168  121   13
      9 2013   127  139  109   12  109  115  100   11  146  165  120   13
     10 2013   124  136  108   12  107  112   98   10  143  162  118   13
     11 2013   122  130  106   12  104  110   97   10  141  156  116   13
     12 2013   119  127  106   11  102  107   96   10  138  153  115   13
      1 2014   116  124  105   11  100  105   94   10  135  150  114   12
      2 2014   114  121  103   11   98  101   92   10  132  146  112   12
      3 2014   111  119  102   11   96   99   90   10  130  142  110   12
      4 2014   109  116  100   11   94   97   90    9  127  139  109   12
